"Denver_Building_Id","Compliance_Status","Property_Name","Street","Zipcode","Year_Built","Address_Source","Address_Type","Master_Property_Type","Primary_Property_Type___EPA_Calculated","Assessor_Sector","Government_Type","Master_Sq_Ft","Reported_for_Year","ENERGY_STAR_Score","Site_Energy_Use__kBtu_","Site_EUI__kBtu_sq_ft_","Weather_Normalized_Site_Energy_Use","Weather_Normalized_Site_EUI__kBtu_sq_ft_","Electricity_use_Grid_Purchase_and_Onsite","Electricity_Use___Grid_Purchase__kWh_","Electricity_Use_Onsite_Renewable__kWh_","Green_Power___Offsite__kWh_","Green_Power___Onsite__kWh_","Natural_Gas_Use__kBtu_","District_Steam_Use__kBtu_","District_Chilled_Water_use__kBtu_","Total_GHG_Emissions__Metric_Tons_C02e_","ENERGY_STAR_Certification_Year_s__Cert","Recent_Energy_Star_Certification"
3503,In Compliance,Griffis Cherry Creek (gr125),350 South Jackson Street,80209,2008,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,240537,2020-12-31,90,15497157,64.4,15527293,64.6,1766124,1766124,0,0,0,9471141,0,0,1530,0,0
3970,In Compliance,"Albion Court Holdings, L.P.",1175 Albion St Apt 101,80220,1986,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,62976,2020-12-31,33,6079237,96.5,6249707,99.2,667477,667477,0,0,0,3801806,0,0,590,0,0
2866,Not Submitted,Liv on Steele,1412 STEELE ST,80206,1969,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,53031,2020-12-31,72,3094052,58.3,3205020,60.4,288409,288409,0,0,0,2110000,0,0,279.8,0,0
2945,In Compliance,"1280 Lafayette Residential, LLC",1280 Lafayette St.,80218,1968,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,42900,2020-12-31,96,3212568,74.9,3307311,77.1,220974,220974,0,0,0,2458604,0,0,259.1,0,0
5773,In Compliance,Bldg 45 - 660 S. Alton Way,660 S. Alton Way,80247,1969,Portfolio Manager,Building,Apartment,Multifamily Housing,,,61030,2020-12-31,99,2609045,42.8,2789236,45.7,161757,161757,0,0,0,2057130,0,0,203.3,0,0
4563,In Compliance,The Ventana at Colorado Station,5095 E. Donald Ave.,80222,1971,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,230800,2020-12-31,44,22069828,95.6,21840840,94.6,1574837,1574837,0,0,0,16696484,0,0,1802.5,0,0
4127,In Compliance,Pine Creek Apartments Bldg. 6,600 S. Dayton St.,80247,1972,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,32850,2020-12-31,52,3015781,91.8,3235461,98.5,161486,161486,0,0,0,2464792,0,0,224.8,0,0
2931,In Compliance,Cheesman Club Apartments,1077 Race Street,80206,1970,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,75319,2020-12-31,57,7153228,95,7456415,99,482621,482621,0,0,0,5506525,0,0,573.1,0,0
2524,In Compliance,Benedict Park Place 1B,2300 Court Place,80205,2006,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,128000,2020-12-31,60,7731351,60.4,7736526,60.4,1108253,1108253,0,0,0,3949993,0,0,854.2,0,0
2326,In Compliance,Highland 32 (bs44),3251 Lowell Blvd,80211,2017,Portfolio Manager,Building,Apartment,Multifamily Housing,Institutional,,136207,2020-12-31,70,7248217,53.2,7282014,53.5,1166175,1166174,0,0,0,3269229,0,0,851.7,0,0
3213,In Compliance,Decatur Place Apartments,1155 Decatur Street,80204,1982,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-family,,154300,2020-12-31,70,10306910,66.8,10490533,68,759725,759724,0,0,0,7714730,0,0,851.5,0,0
5619,In Compliance,Denizen Apartments - dn79,415 S. Cherokee Street,80223,2015,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,189677,2020-12-31,71,11104753,58.5,11228993,59.2,1732381,1732381,0,0,0,5193869,0,0,1283.2,0,0
5379,In Compliance,Hirschfeld Towers,333 W. Ellsworth,80223,1967,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-family,,146484,2020-12-31,80,8256153,56.4,8403410,57.4,1301323,1301322,0,0,0,3816040,0,0,959.3,0,0
3862,In Compliance,Mansard Square: 3080 West Iliff Avenue,3080 West Iliff Avenue,80219,1983,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,25350,2020-12-31,86,1432836,56.5,1488928,58.7,183289,183289,0,0,0,807456,0,0,149.5,0,0
2971,In Compliance,Franconia,930 Downing Street,80218,1931,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-family,,34971,2020-12-31,87,1948734,55.7,1985957,56.8,206524,206524,0,0,0,1244074,0,0,186.2,0,0
5775,In Compliance,Bldg 47 - 650 S. Alton Way,650 S. Alton Way,80247,1969,Portfolio Manager,Building,Apartment,Multifamily Housing,,,61030,2020-12-31,98,2599322,42.6,2827233,46.3,179957,179957,0,0,0,1985310,0,0,210.1,0,0
2349,In Compliance,Villas at Sloan's Lake,1551 Wolff St,80204,2007,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-family,,44300,2020-12-31,46,4141122,93.5,4141282,93.5,460139,460139,0,0,0,2571127,0,0,404.1,0,0
2543,In Compliance,837 Park Avenue West,837 Park Avenue West,80205,2003,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-family,,45999,2020-12-31,86,2567992,55.8,2565155,55.8,354610,354610,0,0,0,1358063,0,0,278.3,0,0
5294,In Compliance,Twin Fountains,2135 S. Depew St,80227,1973,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,90000,2020-12-31,95,4488130,49.9,4641846,51.6,350448,350448,0,0,0,3292402,0,0,378.6,0,0
5524,Not Submitted,Overture Stapleton,8133 East 29th Place,80238,2014,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,165930,2020-12-31,100,1691677,10.2,1670149,10.1,385369,385368,0,0,0,376800,0,0,244.1,0,0
3715,In Compliance,RedPeak Colorado Station,3700 East Jewell Avenue,80210,1971,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,206006,2020-12-31,100,6948333,33.7,6989947,33.9,770451,770451,0,0,0,4319554,0,0,677.4,0,0
2002,In Compliance,Chaffee Park Senior Residences,4580 Tejon Street,80211,2010,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-family,,59913,2020-12-31,69,2976923,49.7,3002335,50.1,536620,536620,0,0,0,1145977,0,0,372.9,0,0
5391,In Compliance,Freight Residence,3515 Ringsby Court,80216,2016,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,50430,2020-12-31,72,2481265,49.2,2492231,49.4,350011,350011,0,0,0,1287029,0,0,271.9,0,0
3363,Not Submitted,50830-Brookdale Parkplace,111 Emerson Street,80218,2000,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,240607,2020-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2910,In Compliance,The Campbell,1295 Race Street,80206,1959,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,33210,2020-12-31,29,2832691,85.3,2949235,88.8,235985,235985,0,0,0,2027511,0,0,244.9,0,0
3886,In Compliance,Loretto Heights - lr024,3400 S Lowell Blvd,80236,1988,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,314371,2020-12-31,50,23823942,75.8,24445346,77.8,2028554,2028554,0,0,0,16902516,0,0,2077.3,0,0
5754,In Compliance,Bldg 17 - 715 S. Clinton St.,715 S. Clinton St.,80247,1963,Portfolio Manager,Building,Apartment,Multifamily Housing,,,34736,2020-12-31,87,2031932,58.5,2189840,63,131841,131841,0,0,0,1582092,0,0,160.7,0,0
5785,In Compliance,Bldg 58 - 9315 E. Center Ave.,9315 E. Center Ave.,80247,1972,Portfolio Manager,Building,Apartment,Multifamily Housing,,,61030,2020-12-31,92,3294407,54,3542875,58.1,184308,184308,0,0,0,2665548,0,0,248.7,0,0
5197,In Compliance,1476 Pennsylvania St.,1476 Pennsylvania St.,80206,1926,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,28372,2020-12-31,14,3587434,126.4,3718017,131,147894,147894,0,0,0,3082821,0,0,249.7,0,0
4084,In Compliance,Lowry Park (lw02),8501 E. Alameda Ave,80230,2001,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,634450,2020-12-31,62,46421471,73.2,47062022,74.2,4146877,4146877,0,0,0,32272326,0,0,4125.4,0,0
3628,In Compliance,Columbine Towers,1750 Federal Blvd,80219,1964,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,123354,2020-12-31,62,9537072,77.3,10043248,81.4,952248,952248,0,0,0,6288000,0,0,887.7,0,0
4785,In Compliance,The District,6300 E. Hampden Ave.,80222,2007,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,342033,2020-12-31,68,19251048,56.3,19457957,56.9,2778443,2778443,0,0,0,9771000,0,0,2134.5,0,0
2783,In Compliance,William Tell,1599 Williams St.,80218,1964,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-family,,57993,2020-12-31,79,4945017,85.3,5102907,88,221869,221869,0,0,0,4188000,0,0,351.5,0,0
5762,In Compliance,Bldg 32 - 695 S. Alton Way,695 S. Alton Way,80247,1970,Portfolio Manager,Building,Apartment,Multifamily Housing,,,61030,2020-12-31,92,3310885,54.3,3528954,57.8,166284,166284,0,0,0,2743524,0,0,242.4,0,0
5765,In Compliance,Bldg 37 - 700 S. Alton Way,700 S. Alton Way,80247,1971,Portfolio Manager,Building,Apartment,Multifamily Housing,,,61030,2020-12-31,93,3114432,51,3318995,54.4,195310,195310,0,0,0,2448036,0,0,243.6,0,0
2873,In Compliance,1325 N Garfield St,1325 N Garfield St,80206,1965,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,51730,2020-12-31,94,3238664,62.6,3287040,63.5,271883,271883,0,0,0,2311000,0,0,280.8,0,0
2261,In Compliance,Tejon Heights,1974 W 35th Ave,80211,2013,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,35977,2020-12-31,63,1661315,46.2,1671485,46.5,335534,335534,0,0,0,516475,0,0,222.5,0,0
3153,In Compliance,Courthouse Square (26585),901 WEST 14TH AVE,80204,1981,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,91624,2020-12-31,67,6841485,74.7,6925471,75.6,870291,870291,0,0,0,3872052,0,0,711.7,0,0
2937,In Compliance,Corona Residences,1445 Corona Street,80218,1965,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-family,,35439,2020-12-31,70,2468447,69.7,2503926,70.7,236488,236488,0,0,0,1661549,0,0,225.8,0,0
2268,In Compliance,Bstreet,1736 Boulder St.,80211,2012,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,60499,2020-12-31,95,2653948,43.9,2663093,44,393334,393334,0,0,0,1311893,0,0,298.4,0,0
4549,In Compliance,"City Square Apartments, LLC",2330 S Kearney Street,80222,1973,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,95314,2020-12-31,2,15123862,158.7,15060787,158,678154,678154,0,0,0,12810000,0,0,1074.7,0,0
2545,In Compliance,Cornerstone Residences,1001 Park Ave W,80205,2009,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial Condominium,,36210,2020-12-31,5,4284397,118.3,4326309,119.5,571922,571922,0,0,0,2333000,0,0,456.5,0,0
5310,In Compliance,Wheatley,530 25th St,80205,2014,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,54965,2020-12-31,23,4445214,80.9,4457802,81.1,829146,829146,0,0,0,1616167,0,0,568,0,0
4857,In Compliance,Summitt Ridge Apartment Homes,8330 E Quincy Ave.,80237,1980,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,331480,2020-12-31,85,17966633,54.2,19220722,58,1673544,1673544,0,0,0,12256500,0,0,1624.1,0,0
4825,In Compliance,Bell Denver Tech Center,4380 S Monaco Street,80237,2008,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,358390,2020-12-31,87,18361761,51.2,18283104,51,2943597,2943597,0,0,0,8318207,0,0,2153.4,0,0
5795,In Compliance,Bldg 68 - 350 S. Clinton St.,350 S. Clinton St.,80247,1971,Portfolio Manager,Building,Apartment,Multifamily Housing,,,61030,2020-12-31,88,3350199,54.9,3597881,59,214492,214492,0,0,0,2618352,0,0,263.8,0,0
3017,In Compliance,Forum Building Housing LP,250 W 14th Ave,80204,1965,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,49791,2020-12-31,24,4790696,96.2,4839246,97.2,752167,752167,0,0,0,0,2224303,0,585,0,0
6009,In Compliance,THE PULLMAN - Greystar,1959 Wewatta St.,80202,2020,Portfolio Manager,Building,Apartment,Multifamily Housing,,,168000,2020-12-31,33,14516213,86.4,14719508,87.6,2205846,2205846,0,0,0,6989866,0,0,1653.9,0,0
1050,In Compliance,Parkfield (pf99),16199 Green Valley Ranch Blvd,80239,1999,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,412856,2020-12-31,43,32206417,78,32489050,78.7,3320525,3320525,0,0,0,20876785,0,0,3039.6,0,0
5009,In Compliance,The Pines at Marston Lake,4801 South Wadsworth Blvd.,80123,1986,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,56976,2020-12-31,47,3814948,67,3939863,69.1,370404,370404,0,0,0,2551131,0,0,350.9,0,0
5916,In Compliance,3280 North Downing St,3280 North Downing St,80205,1998,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,52650,2020-12-31,69,2835331,53.9,2869760,54.5,389896,389896,0,0,0,1505006,0,0,306.6,0,0
2130,In Compliance,3030 Richard Allen Ct. - Allen Gardens,3030 Richard Allen Ct.,80205,1986,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-family,,38080,2020-12-31,82,1610638,42.3,1616112,42.4,308314,308314,0,0,0,558672,0,0,208.9,0,0
3238,In Compliance,The Salvation Army Denver Silvercrest Residences,4595 W. Alameda Ave.,80219,1993,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-family,,56405,2020-12-31,91,3145207,55.8,3310529,58.7,316298,316298,0,0,0,2066000,0,0,293.6,0,0
5031,In Compliance,5031 Building 6,4560 S. Balsam Way,80123,2014,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,28861,2020-12-31,95,1074864,37.2,1092405,37.9,120629,120629,0,0,0,663278,0,0,105.4,0,0
5786,In Compliance,Bldg 59 - 9320 E. Center Ave.,9320 E. Center Ave.,80247,1967,Portfolio Manager,Building,Apartment,Multifamily Housing,,,27958,2020-12-31,98,1321535,47.3,1403913,50.2,70679,70679,0,0,0,1080378,0,0,98.5,0,0
3600,In Compliance,Paloma Villas I,4200 Morrison Rd,80219,2004,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,52486,2020-12-31,80,3292291,62.7,3363398,64.1,309545,309545,0,0,0,2236125,0,0,298.8,0,0
2235,In Compliance,Griffis Union Station - sk10,2905 N Inca St,80202,2010,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,373403,2020-12-31,83,20495101,54.9,20520115,55,2813772,2813772,0,0,0,10894509,0,0,2214.7,0,0
5784,In Compliance,Bldg 57 - 9300 E. Center Ave.,9300 E. Center Ave.,80247,1968,Portfolio Manager,Building,Apartment,Multifamily Housing,,,59588,2020-12-31,85,3686336,61.9,4005506,67.2,169272,169272,0,0,0,3108780,0,0,263.5,0,0
6025,In Compliance,King Street Apartments,4923 King Street,80221,2018,Portfolio Manager,Building,Apartment,Multifamily Housing,,,45673,2020-12-31,89,2566420,56.2,2574884,56.4,295844,295844,0,0,0,1557000,0,0,254.7,0,0
5752,In Compliance,Bldg 14 - 775 S. Alton Way,775 S. Alton Way,80247,1965,Portfolio Manager,Building,Apartment,Multifamily Housing,,,59348,2020-12-31,98,2650346,44.7,2879878,48.5,172057,172057,0,0,0,2063286,0,0,209.6,0,0
3496,In Compliance,The Gardens at Cherry Creek,225 S Harrison St,80209,2013,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,236609,2020-12-31,99,9338993,39.5,9471011,40,1316607,1316607,0,0,0,4846731,0,0,1023,0,0
3234,In Compliance,Casa Dorada: 4600 W. 9th Ave - cs036,4600 W. 9th Ave,80204,2005,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,54682,2020-12-31,64,3079819,56.3,3084627,56.4,461253,461253,0,0,0,1506025,0,0,348.2,0,0
1983,In Compliance,Casa Loma,3850 Alcott St,80211,1980,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-family,,74361,2020-12-31,78,4556777,61.3,4633533,62.3,479378,479378,0,0,0,2921138,0,0,433.9,0,0
5665,In Compliance,The Den,6950 E Chenango Ave,80237,2016,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,356009,2020-12-31,84,17648922,49.6,17809388,50,3013928,3013927,0,0,0,7365401,0,0,2143.7,0,0
2903,In Compliance,1375 High St,1375 High St,80218,1961,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,43735,2020-12-31,96,2234807,51.1,2215797,50.7,262546,262546,0,0,0,1339000,0,0,223.8,0,0
5604,Not Submitted,Coda,100 Steele St,80206,2016,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,164192,2020-12-31,0,8056710,49.1,8219128,50.1,509665,509664,0,0,0,6317735,0,0,631.9,0,0
5316,In Compliance,Clocktower Lofts,2500 N Broadway,80205,1923,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,34588,2020-12-31,13,2647862,84.8,2693936,86.3,353782,353782,0,0,0,1440758,0,0,282.2,0,0
1977,In Compliance,4765 Federal Blvd,4765 Federal Blvd,80211,1969,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial,,59322,2020-12-31,15,2617571,44.1,2657176,44.8,526389,526389,0,0,0,821533,0,0,349.7,0,0
2272,In Compliance,Prospect on Central,2500 17th Street,80211,2010,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,68964,2020-12-31,42,4051897,58.8,4052943,58.8,640220,640220,0,0,0,1867466,0,0,471.4,0,0
4477,In Compliance,Alta Springs,9888 Vassar Dr,80231,1983,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,389411,2020-12-31,61,31333254,80.5,32148211,82.6,2364376,2364376,0,0,0,23266001,0,0,2610.6,0,0
5165,In Compliance,Jack Kerouac,1240-1260 Sherman St,80203,1940,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,35249,2020-12-31,73,3648682,103.5,3783704,107.3,189825,189825,0,0,0,3001000,0,0,269.8,0,0
2181,In Compliance,Waterford RiNo (wt019),2797 Wewatta Way,80216,2011,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,252828,2020-12-31,79,14567908,57.6,14520720,57.4,2181550,2181550,0,0,0,7124459,0,0,1646.9,0,0
5036,In Compliance,5036 Building 2,8000 W. Standford Ave,80123,2014,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,28861,2020-12-31,94,1135642,39.3,1150299,39.9,131605,131605,0,0,0,686605,0,0,113,0,0
5796,In Compliance,Bldg 78 - 495 S. Dayton St.,495 S. Dayton St.,80247,1971,Portfolio Manager,Building,Apartment,Multifamily Housing,,,63358,2020-12-31,99,2490385,39.3,2635395,41.6,201254,201253,0,0,0,1803708,0,0,212.8,0,0
4018,In Compliance,Alas Over Lowry,82 N Uinta Way,80230,2017,Portfolio Manager,Building,Apartment,Multifamily Housing,Institutional,,112751,2020-12-31,100,5363410,47.6,5532149,49.1,325221,325221,0,0,0,4253755,0,0,415,0,0
4350,Not Submitted,Cedar Run Apartments,888 S. Oneida Street,80224,1960,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,225085,2020-12-31,0,8158232,36.2,7691540,34.2,2283764,2283763,0,0,0,366030,0,0,1347.3,0,0
4833,In Compliance,Camden Belleview Station,6515 East Union Avenue,80237,2009,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,278285,2020-12-31,65,18932085,68,19194765,69,1653802,1653802,0,0,0,13289312,0,0,1667.5,0,0
5373,Not Submitted,Lumina,3234 Navajo St.,80211,2015,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,107361,2020-12-31,73,4720227,44,4742534,44.2,655731,655731,0,0,0,2482871,0,0,513.2,0,0
3397,In Compliance,Casa Cordova Apartments,15 S. Clarkson St.,80209-2146,1970,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,45772,2020-12-31,88,3894674,85.1,4131404,90.3,249164,249164,0,0,0,3044526,0,0,306.6,0,0
5788,In Compliance,Bldg 61 - 9340 E. Center Ave.,9340 E. Center Ave.,80247,1967,Portfolio Manager,Building,Apartment,Multifamily Housing,,,59588,2020-12-31,89,3377974,56.7,3663748,61.5,185345,185345,0,0,0,2745576,0,0,253.6,0,0
1806,In Compliance,Dahlia Square,3421 Elm St,80207,2012,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-family,,119010,2020-12-31,89,4904575,41.2,4933106,41.5,666347,666347,0,0,0,2631000,0,0,527.2,0,0
3604,In Compliance,Los Altos de Alameda,5100 W. Alameda Ave,80219,2011,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,53345,2020-12-31,95,2493101,46.7,2508356,47,344402,344402,0,0,0,1318000,0,0,270.3,0,0
3730,In Compliance,One Observatory Park - nb10,2360 East Evans Avenue,80210,2013,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,213267,2020-12-31,33,13382103,62.7,13739255,64.4,2940851,2940851,0,0,0,3347920,0,0,1887.8,0,0
2894,In Compliance,Colorado Pointe (lc77),901 Colorado Blvd,80206,2006,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,170873,2020-12-31,53,10555382,61.8,10560251,61.8,1367638,1367638,0,0,0,5889000,0,0,1108,0,0
2291,In Compliance,"Commons Park West - CO (cm48, cm26)",1550 Platte Street,80202,1999,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,315163,2020-12-31,66,21908628,69.5,22308853,70.8,2111758,2111758,0,0,0,14703308,0,0,2008.9,0,0
3143,In Compliance,Penn VII Apartments,700 Pennsylvania St.,80203,1963,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,49278,2020-12-31,72,3831675,77.8,3903493,79.2,343691,343691,0,0,0,2659000,0,0,341.1,0,0
3389,In Compliance,Alameda Station,275 South Cherokee Street,80223,2013,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,428106,2020-12-31,81,16673849,38.9,16898700,39.5,2737019,2737019,0,0,0,7335140,0,0,1981.1,0,0
5770,In Compliance,Bldg 42 - 655 S. Alton Way,655 S. Alton Way,80247,1969,Portfolio Manager,Building,Apartment,Multifamily Housing,,,61030,2020-12-31,91,3173459,52,3432640,56.2,200882,200882,0,0,0,2488050,0,0,249,0,0
5781,In Compliance,Bldg 53 - 9150 E. Center Ave.,9150 E. Center Ave.,80247,1968,Portfolio Manager,Building,Apartment,Multifamily Housing,,,59588,2020-12-31,92,3338814,56,3626803,60.9,149812,149812,0,0,0,2827656,0,0,237.3,0,0
2972,In Compliance,El Castillo Apartments,969 Downing Street,80218,1967,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,65000,2020-12-31,98,2978888,45.8,2978888,45.8,95484,95484,0,0,0,2653097,0,0,196.4,0,0
5244,In Compliance,Buerger Brother Lofts,1742 Champa St,80202,1911,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,48644,2020-12-31,11,4256803,87.5,4304002,88.5,498315,498315,0,0,0,2556552,0,0,425.5,0,0
4032,In Compliance,Grand Lowry Lofts,200 Rampart Way,80230,1937,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,215787,2020-12-31,11,21222564,98.3,21459205,99.4,3214178,3214178,0,0,0,10255787,0,0,2413.6,0,0
4134,In Compliance,Pine Creek Apartments Bldg. 15,600 South Dayton Street,80247,1972,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,32850,2020-12-31,44,3181227,96.8,3391218,103.2,169108,169108,0,0,0,2604229,0,0,236.7,0,0
6035,In Compliance,Renaissance Downtown Lofts,2075 N Broadway,80205,2018,Portfolio Manager,Building,Apartment,Multifamily Housing,,,81718,2020-12-31,68,5265369,64.4,5300485,64.9,741826,741825,0,0,0,2734261,0,0,576.6,0,0
3612,In Compliance,Mountain View,1212 S. Federal Blvd,80219,1979,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-family,,124813,2020-12-31,70,8247442,66.1,8607596,69,943971,943971,0,0,0,5026612,0,0,815.9,0,0
5823,Not Submitted,300 East 17th - 17th,300 East 17th Avenue,80203,1986,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,185773,2020-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2876,In Compliance,Vida Properties,1151 Colorado Blvd,80206,1965,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,35422,2020-12-31,32,2905620,82,2955892,83.4,246958,246958,0,0,0,2063000,0,0,253.2,0,0
3053,In Compliance,12th & Elati Residences LLC,420 W 12th Ave,80204,2008,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,70603,2020-12-31,41,4491684,63.6,4491684,63.6,708899,708899,0,0,0,2072922,0,0,522.3,0,0
4345,In Compliance,Bldg 1,6800 Leetsdale Drive,80224,1987,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,70672,2020-12-31,44,5211075,73.7,5450920,77.1,592929,592929,0,0,0,3188000,0,0,514.1,0,0
5339,In Compliance,Creekside At Amherst Apartments,7520 W. Amherst Avenue,80227,1971,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,157637,2020-12-31,49,13049916,82.8,13340015,84.6,972674,972674,0,0,0,9731151,0,0,1082.4,0,0
2367,In Compliance,Element 47 by Windsor,2180 N. Bryant St.,80211,2014,Portfolio Manager,Building,Apartment,Multifamily Housing,Commercial/Residential Mixed-use,,275536,2020-12-31,77,13858349,50.3,13893862,50.4,2019446,2019445,0,0,0,6968000,0,0,1544.3,0,0
5798,In Compliance,Bldg 82 - 9625 E. Center Ave.,9625 E. Center Ave.,80247,1972,Portfolio Manager,Building,Apartment,Multifamily Housing,,,63358,2020-12-31,89,3159321,49.9,3405901,53.8,268306,268306,0,0,0,2243862,0,0,275.2,0,0
3873,In Compliance,Avon Apartments,2850 S. Federal Blvd,80236,1971,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,41740,2020-12-31,90,2840096,68,2929025,70.2,237719,237719,0,0,0,2029000,0,0,246,0,0
5035,In Compliance,5035 Building 1,8000 W. Standford Ave,80123,2014,Portfolio Manager,Building,Apartment,Multifamily Housing,Multi-Family,,28715,2020-12-31,92,1184187,41.2,1194110,41.6,132516,132516,0,0,0,732041,0,0,115.9,0,0
5756,In Compliance,Bldg 20 - 755 S. Alton Way,755 S. Alton Way,80247,1966,Portfolio Manager,Building,Apartment,Multifamily Housing,,,59348,2020-12-31,95,3005923,50.6,3253484,54.8,178542,178542,0,0,0,2396736,0,0,231.1,0,0
5764,In Compliance,Bldg 36 - 665 S. Alton Way,665 S. Alton Way,80247,1969,Portfolio Manager,Building,Apartment,Multifamily Housing,,,61030,2020-12-31,97,2737132,44.8,2964344,48.6,174038,174038,0,0,0,2143314,0,0,215,0,0
